"행정구역별",2022.2/2,2022.2/2,2022.2/2,2022.2/2,2022.2/2,2022.2/2,2022.2/2,2022.2/2,2022.2/2,2022.2/2,2022.2/2
"행정구역별",15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),실업자(RSE),비경제활동인구 (천명),경제활동참가율 (％),고용률 (%),15~64세 고용률 (%),실업률 (％),실업률(RSE)
"서울 종로구",135.8,74.0,71.8,2.2,-,61.8,54.5,52.9,60.3,3.0,-
"서울 중구",118.0,70.7,67.6,3.0,-,47.4,59.9,57.3,64.6,4.3,-
"서울 용산구",199.4,123.5,119.1,4.4,-,75.9,62.0,59.7,68.8,3.6,-
"서울 성동구",254.6,157.8,152.7,5.2,-,96.7,62.0,60.0,67.7,3.3,-
"서울 광진구",316.5,194.4,188.2,6.1,-,122.1,61.4,59.5,66.2,3.2,-
"서울 동대문구",316.9,168.3,162.9,5.4,-,148.5,53.1,51.4,58.2,3.2,-
"서울 중랑구",345.2,208.1,198.8,9.3,-,137.0,60.3,57.6,66.9,4.5,-
"서울 성북구",392.0,223.7,214.0,9.7,-,168.4,57.1,54.6,62.4,4.3,-
"서울 강북구",264.2,150.4,143.9,6.4,-,113.9,56.9,54.5,64.9,4.3,-
"서울 도봉구",276.0,162.3,154.9,7.4,-,113.6,58.8,56.1,66.4,4.6,-
"서울 노원구",442.1,259.2,249.6,9.5,-,182.9,58.6,56.5,64.7,3.7,-
"서울 은평구",409.6,241.4,232.0,9.4,-,168.2,58.9,56.6,66.3,3.9,-
"서울 서대문구",286.7,166.8,159.7,7.1,-,119.9,58.2,55.7,62.2,4.3,-
"서울 마포구",328.2,205.9,198.1,7.9,-,122.3,62.7,60.3,67.5,3.8,-
"서울 양천구",370.7,223.4,215.9,7.5,-,147.2,60.3,58.2,66.3,3.4,-
"서울 강서구",500.8,313.3,303.2,10.1,-,187.5,62.6,60.5,69.1,3.2,-
"서울 구로구",370.8,239.3,231.2,8.1,-,131.5,64.5,62.3,70.2,3.4,-
"서울 금천구",223.1,146.2,139.4,6.8,-,76.9,65.5,62.5,70.7,4.7,-
"서울 영등포구",356.1,230.4,221.8,8.6,-,125.7,64.7,62.3,69.7,3.7,-
"서울 동작구",352.1,210.4,200.2,10.2,-,141.7,59.8,56.9,65.3,4.8,-
"서울 관악구",463.8,285.5,272.3,13.2,-,178.2,61.6,58.7,66.7,4.6,-
"서울 서초구",331.7,201.5,195.3,6.2,-,130.2,60.7,58.9,66.5,3.1,-
"서울 강남구",438.1,255.4,248.3,7.1,-,182.7,58.3,56.7,64.2,2.8,-
"서울 송파구",561.7,341.0,330.5,10.6,-,220.7,60.7,58.8,67.0,3.1,-
"서울 강동구",393.7,249.3,238.3,10.9,-,144.4,63.3,60.5,68.7,4.4,-
"부산 중구",38.8,22.2,21.5,0.7,-,16.6,57.3,55.6,64.1,3.0,-
"부산 서구",94.8,51.1,48.6,2.5,-,43.6,54.0,51.3,62.4,4.9,-
"부산 동구",79.2,43.2,41.1,2.1,-,36.0,54.6,51.9,63.3,4.9,-
"부산 영도구",101.6,53.6,51.3,2.2,-,48.1,52.7,50.5,60.3,4.2,-
"부산 부산진구",316.2,182.2,174.5,7.7,-,134.1,57.6,55.2,64.0,4.2,-
"부산 동래구",232.2,131.0,126.2,4.8,-,101.2,56.4,54.4,64.0,3.7,-
"부산 남구",234.0,127.6,122.6,4.9,-,106.5,54.5,52.4,60.2,3.9,-
"부산 북구",243.9,138.3,132.6,5.7,-,105.7,56.7,54.4,62.9,4.1,-
"부산 해운대구",331.1,182.8,176.2,6.6,-,148.3,55.2,53.2,61.9,3.6,-
"부산 사하구",271.9,154.7,148.0,6.7,-,117.2,56.9,54.4,63.2,4.3,-
"부산 금정구",208.4,111.7,107.6,4.1,-,96.8,53.6,51.6,60.6,3.7,-
"부산 강서구",114.9,78.0,74.9,3.0,-,36.9,67.8,65.2,69.9,3.9,-
"부산 연제구",177.8,101.5,97.0,4.5,-,76.3,57.1,54.5,65.7,4.4,-
"부산 수영구",153.9,86.0,82.4,3.6,-,67.9,55.9,53.6,65.3,4.1,-
"부산 사상구",188.1,109.6,105.8,3.9,*,78.4,58.3,56.2,63.7,3.5,*
"부산 기장군",146.8,87.8,84.2,3.6,-,59.0,59.8,57.3,65.1,4.1,-
"대구 중구",68.3,41.0,39.9,1.1,-,27.3,60.0,58.4,68.8,2.8,-
"대구 동구",293.2,165.9,163.0,2.8,-,127.3,56.6,55.6,66.3,1.7,-
"대구 서구",146.6,78.8,76.4,2.4,-,67.9,53.7,52.1,62.3,3.1,-
"대구 남구",132.4,70.6,68.2,2.4,-,61.8,53.3,51.5,61.5,3.4,-
"대구 북구",386.6,224.7,217.2,7.5,-,161.9,58.1,56.2,62.8,3.3,-
"대구 수성구",344.3,185.9,181.8,4.1,-,158.5,54.0,52.8,60.3,2.2,-
"대구 달서구",479.2,273.7,265.3,8.4,-,205.5,57.1,55.4,62.8,3.1,-
"대구 달성군",221.7,143.0,139.9,3.1,-,78.7,64.5,63.1,68.2,2.2,-
"인천 중구",129.7,83.2,79.2,4.0,-,46.5,64.1,61.1,67.5,4.8,-
"인천 동구",52.0,30.3,29.0,1.4,-,21.7,58.3,55.7,63.5,4.6,-
"인천 연수구",334.5,208.0,199.1,8.9,-,126.5,62.2,59.5,63.9,4.3,-
"인천 남동구",443.4,278.2,264.7,13.5,-,165.2,62.7,59.7,66.1,4.9,-
"인천 부평구",433.8,277.8,264.6,13.2,-,156.0,64.0,61.0,68.2,4.8,-
"인천 계양구",255.2,167.6,159.8,7.8,-,87.6,65.7,62.6,68.1,4.6,-
"인천 서구",491.9,329.8,314.0,15.8,-,162.0,67.1,63.8,69.0,4.8,-
"인천 미추홀구",371.3,238.0,226.5,11.5,-,133.3,64.1,61.0,67.4,4.8,-
"인천 강화군",59.5,39.2,38.4,0.8,-,20.3,65.9,64.5,71.1,2.0,*
"인천 옹진군",16.5,12.7,12.5,0.2,*,3.7,77.3,76.1,80.3,1.5,*
"광주 동구",100.2,57.8,55.8,2.0,-,42.4,57.7,55.7,63.4,3.5,-
"광주 서구",254.2,151.9,148.5,3.4,-,102.4,59.7,58.4,65.4,2.2,-
"광주 남구",187.6,113.8,110.1,3.6,-,73.8,60.6,58.7,65.7,3.2,-
"광주 북구",383.0,215.1,210.2,4.9,-,167.9,56.2,54.9,61.7,2.3,-
"광주 광산구",354.0,227.8,221.7,6.1,-,126.2,64.4,62.6,65.7,2.7,-
"대전 동구",205.8,112.4,109.7,2.7,-,93.3,54.6,53.3,60.2,2.4,-
"대전 중구",199.0,117.9,114.9,3.0,-,81.1,59.2,57.7,67.5,2.6,-
"대전 서구",411.3,255.8,248.5,7.4,-,155.5,62.2,60.4,66.6,2.9,-
"대전 유성구",315.9,205.5,201.0,4.5,-,110.4,65.0,63.6,68.1,2.2,-
"대전 대덕구",156.1,95.4,93.7,1.7,-,60.7,61.1,60.0,67.0,1.8,-
"울산 중구",177.7,102.1,97.3,4.8,-,75.6,57.5,54.8,61.9,4.7,-
