카테고리,[잡담],[질문],[정보],[기타]
[잡담],이제 고대 악세 맞출때가 왔는데..극신으로 갈려고 합니다돌은 76돌 원한 7 돌격대장 6있습니당원한 갈증 돌격대장 기습의대가 질량증가 +아드레날린1 이렇게 맞추면 되나용?,,,
[잡담],고대셋팅해줄려구 대충 찾아보긴했는데333331 에서 저받3 vs 아드3 이더라구영 뭘추천해주시나요?,,,
[질문],,현재 1610 갈증리퍼입니다제가 생각한것보다' 딜이 좋게 나오지않는데 이유를 몰라 답답합니다 혹시 선생님들 보시고 조언부탁드립니다.. 어느걸 바꾸는게 좋을지..,,
[잡담],유튜브도 많이 보고 트리시온에서 스킬 사이클 굴리는 연습도 하는데 레이드 가면 패턴 피하기 바쁘고 딜을 많이 못넣는거 같어요 ㅜㅜ 딜을 넣을려고 하다 죽는 경우도 많고 저 때문에 리트 많이 하는거 같아서 실력 늘려서 선클 자주 해보고 싶은데 어떻게 해야 실력이 늘까요 ㅜㅜ,,,
[잡담],공팟으로 다니는 분들은 대체 얼마나 정신력이 강한거야;,,,
[질문],,"달소리퍼특신 스피닝블미닉 Artback 입니다스펙업 진로 부탁드립니다주력기 10멸, 쉐닷퓨리10홍 나머지 9홍팔찌 치 순(상옵) 망(상옵) 약 10%엘릭서 23.75%이제 어디부터 어떻게 해나갈지 잘 모르겟네요 조언부탁드립니다",,
[잡담],제가 지금 달소 33333을 쓰고 있는데1540을 이제 찍어서 고대 악세로 넘어가려고 합니다.갈증으로 넘어가고 싶은데 예둔 전각에 달소 전각이라갈증은 예둔을 안쓰니까..두 전각을 새로 읽어야 333332 가 나오는데(부끄럽게도 97돌인데도 33333이었습니다)갈증이 그정도 투자할만큼 달소보다 좋은가요?,,,
[질문],,이번에10 6 돌을깍았는데 그게 바리질증입니다극신질증에 수호룬 둘둘하면 괜찮을까요?,,
[잡담],카멘때 로아 접을꺼 아님 갈아타자 미래가 이미 훤하다,,,
[잡담],지속시간 내 백어택 시 10% 추가 피해 정도면괜찮지 않으려나요..대외적으로 나름의 족쇄라고 변명도 되고,,,
[질문],,바리 돌대 97돌이 깎여버렸는데 이거 쓸 수 있을까요...?,,
[잡담],아직도 달소리퍼를 하고 있는 사람이 존재하는게 신기,,,
[잡담],안녕하세요 갈증리퍼를 최근에 시작한 리린이 인데요지금 특신반반 인데요고대 넘어 가면서 고신속으로 갈려고 하는데반지나 귀걸이 특화 하나 줘도 될까요 ?(질증 채용할 예정)글고 신속 높아도 스피어 빠준 주나요?,,,
[잡담],머리가 어질어질 하군요..21강 두 부위도 90인가에 성공하고20강 이후부턴 정말 하드코어같네요이럴 줄 알았으면 노숨으로 할껄.. 풀숨으로해서 쩝.살아남은 소수민족분들이여 강화 잘 되시길..파워도 약하고 몸도 약하고 무력도 약하고저희에겐 강화밖에 답이 없습니다..,,,
[잡담],이번에는 정말 기대좀 해봅시다 ~~~그리고 잘돼도 눕고 못돼도 누워서 본섭으로 내용 들고 옵시다,,,
[잡담],또 줬다 뺏긴다..,,,
[잡담],"안녕하세요, 로스트아크입니다.5월 12일(금) 부터 테스트 서버 오픈 일정이 예정되어있어,모험가 여러분께서 테스트 서버에 대한 정보를 미리 확인하실 수 있도록 안내 드립니다.이번 테스트는 테스터 신청 없이 조건에 맞는 모험가분이 모두 참여하실 수 있도록 진행되니,자세한 사항은 아래 내용을 참고하여 이용에 불편이 없으시길 바랍니다.■ 테스트 서버는?새롭게 업데이트될 클래스 밸런스 조정 및 일부 콘텐츠와 시스템을 테스트하기 위해 제공되는 서버입니다.클래스 밸런스 조정 및 일부 콘텐츠와 시스템을 사전에 적용하여, 게임 플레이 진행 중 발생 가능한 문제점들을 사전에 파악하고, 라이브 서버 내 안정적인 서비스 제공을 목적으로 테스트하는 서버입니다.테스트를 목적으로 하는 서버이기 때문에, 게임 플레이 환경이 다소 원활하지 않을 수 있다는 점 모험가 여러분의 너른 양해를 부탁드립니다.테스트 서버 내에서 발생한 아이템, 재화 등 캐릭터 및 원정대의 손실에 대해서는 복구가 진행되지 않습니다.테스트 서버에서 진행된 게임 내용은 실제 라이브 서버 캐릭터 및 원정대 정보에 반영되지 않으며, 테스트 서버 운영 종료 이후 소멸됩니다.테스트 서버 플레이 및 테스트 서버 게시판은 테스트 기간 내에만 이용이 가능합니다.■ 테스트 서버 오픈 일정2023-05-12(금) 14:00 ~ 2023-05-31(수) 23:59※ 금번 테스트 서버는 라이브 서버 적용 이후에도 일정 기간 테스트 서버를 유지하는 정책을 고려하여 진행될 예정입니다.■ 테스트 서버 적용사항 안내5/10(수) 정기 점검 기준으로 아이템 레벨 1500 이상 캐릭터를 보유한 모험가분들을 대상으로 진행되며, 대상 조건에 맞는 모험가분들은 별도의 신청 절차 없이 오픈 일정에 맞춰 테스트 서버를 이용하실 수 있습니다.5/10(수) 정기 점검 시점 기준의 캐릭터 및 보유 아이템 정보가 그대로 테스트 서버에 복사됩니다.※ 테스트 서버에서는 캐릭터 생성 및 삭제가 불가능합니다.테스트 서버에서는 라이브 서버와 동일하게 아래 8개의 서버가 운영됩니다.루페온, 실리안, 아만, 카마인, 카제로스, 아브렐슈드, 카단, 니나브테스트 서버는 라이브 서버에 비해 수용 인원이 적으며, 접속 인원에 따라 대기열이 발생할 수 있습니다.테스트 서버에서는 접속한 캐릭터가 장시간 조작이 없을 때 자동 로그아웃되는 기준 시간이 단축됩니다.이 외 자세한 사항은 오픈 일정에 맞춰테스터 공지사항 게시판을 통해 상세히 안내해 드릴 예정이며,많은 모험가 여러분들의 소중한 의견을 바탕으로 더 나은 서비스를 제공해 드릴 수 있도록 최선을 다하겠습니다.항상 감사 드립니다.",,,
[잡담],2년동안 고통받고 꾹참고 했는데 저번 밸패 망하니로아 이미 맘떠서 재미 하나도 없고 기대도 안됨ㅋ,,,
[잡담],금손호소한다고 또 허수딸쳐올리고 신나서 가디언딜빵하면 이번엔 30%상향론나온다몇몇 요주인물 제발좀 아가리다치고있어라,,,
[잡담],제발 본인 쎈거 잘 알 았으니까1-2개 크리 졸라 잘 뜬 영상 제발 올리지마...괜히 다른 직업 분탕들 제발 먹이 주지 말구ㅠㅠ,,,
[잡담],"지인으로 들어가는 거 말고 순수 100% 공팟&통디 취업으로 봤을 때 기냥 지금마냥딜이 다른 직업보다 뒤지게 쌘 것도 아니고 무력은 뒤에서 2등(달소), 파괴 단 2랩이고 ㅋㅋㅋㅋ제발 이 애매한 포지션에서 탈출하고 싶음, 현재 체방따리 중에서 제일 하이 리턴인 알카만큼 딜 나와야 한다고 생각함, 제발....기믹 수행 능력을 주던지 딜을 특출나게 하게 해주던지 제발..",,,
[잡담],"테섭 허수금지, 군단장 금지, 가토금지",,,
[잡담],바로 테섭 두둥탁,,,
[잡담],다 괜찮은데 컷신에선 불편하다함.그게 쥰내 불편한거 아닌가,,,
[잡담],정흡 딜각인 맛 또 봐야겠지?,,,
[잡담],스매셔 급강하 기본모션으로 바꿔주고 딜트포주면 좋겠어도 개추 시발,,,
[잡담],달소 : 댄싱 치적불균형 60%-> 40% + 피증 20%직각 160% -> 170%갈증 : 스매셔 급하강트포 기본적용 + 딜트포라그 1트포 무력화or범위 삭제후 딜트포공통 : 급습피해량 4%특화수치까지 롤백은 너무큰 바램이겠지? 는 꿈,,,
[잡담],특화계수도 좀 돌려줘봐저기 대검 처단자도 돌대쓰는판에우리도 페르소나 이속 급습에 적용되게해서 돌대좀 쓰면 안됨?공속은 적용되는데 이속은 적용안된다니이상하잖아,,,
[잡담],빛인가...?,,,
[잡담],no no 허수아비,,,
[잡담],이번에도 뭐 안주면 접는게 나을듯 리퍼 상향해...,,,
[잡담],인벤픽 사기캐 투표순위인데...어라?,,,
[잡담],ㄹㅇ 무파상향 시켜주고 끝날거같은 이 기분,,,
[잡담],제일 강화운도 ㅈ박고 팔찌운도 ㅈ박은 부캐지만재미하나로 버티고있다.그냥 급습아닌 스킬들에 무파조금이랑 딜(조금은안됨)만 줘...상아탑 거절률 진짜 스커넘어서 최고로 찍힐꺼같은데 좀 살려줘 시발 라자람만가면 갈증안한 내가 병신이라고느껴지기만하는데. (고정이 쌍치적이라서 갈증갔다가 질려서 에라모르겠다 특신달소중),,,
[잡담],"1월에  여론패치로 버프 나가리되고본섭 들어오기전까지 역대급 단합으로 누워도병먹금도 못해서 할만충 금손도르 분탕들한테 먹이만 주고결국 그대로 들어오고 갈증, 달소 갈라치기하면서 병신짓만 골라서했던 리게에서 뭘 할 수 있는데?어짜피 여기서 뭔 말을 한들 자게에서 여론조작하는거로 패치한다.할거면 여론조작이라도 막아야지",,,
[잡담],뭐 얼마나 쌔지는데?,,,
[잡담],ㅎㅎㅎㅎ....버리지 말라고 하는건가,,,
[잡담],아니 애초에 밸패에 리퍼가 들어가있긴 할까 ㅋㅋㅋ그냥 아무런 언급 없을 수도..이번이 카멘전 마지막 밸패아닌가?이번에 못받으면 진짜 카멘까지 지옥이겠군..카멘까지 버틸자신이 없다..,,,
[잡담],나대더라도팩트로만 나댔으면 좋겠다.진짜 딜 상승이 30퍼면30퍼 올랐다고 해서 너프 먹으면 안억울한데오르지도 않았는데 저번처럼몇십퍼니 안그랬으면 좋겠음,,,
[잡담],또 그런걸로 하루만에 지표쌓였다고 스마게에서 줄것도 안줄거같음 다들 조심하죠 상향확정까지,,,
[잡담],다른 직게 가보니깐 미리 누워야 덜아프게 쳐맞는다고 미리 누울 준비하던데 우린 벌써 포기함?,,,
[잡담],또 롤백할라 ㅋㅋ,,,
[잡담],이번 밸패땐 샤벨 스팅거하고 팬텀댄서 무력 올라갈 예정.,,,
[잡담],무파만 상향받는다->그냥 강투딜러해라(이미전에 강투딜러하란 스마게의 언질이있음)딜상향받는다->드라마틱하게 달라지지않음언급도없다->얌전히 받아드리고 안락사하자하두 통수를 처맞아서 기대가안되네요 이젠,,,
[잡담],일단 눕고 보자!,,,
[잡담],올크리뜬거 dps 몇천만하고 호들갑 떨거임?,,,
[잡담],지금 스마게 가불기 걸려서딜버프할 가능성은 거의없다고 보고기믹위주로 건들 가능성이 매우 높음 ㅇㅇ딜관련해선 다른직업들이 얼마나 내려올지가 관건이 될것,,,
[잡담],일단 눕고 봅시다,,,
[잡담],그럴일은 없으니 걱정 ㄴ,,,
[잡담],상향받으면 제발 아무것도 하지마라 그게 우리가 살길이다,,,
[잡담],갈증 유지시간좀 늘려주라..,,,
[잡담],"테섭 다운받지도 말고, 들어가지도 맙시다.지난번에 경험해봤듯이, 지표같은거 없습니다.그냥 유저들 허수치는거보고 허수dps가지고 밸패합니다.궁금해하지도 말고, 본섭 넘어올때 까지 꾹 참읍시다.",,,
[잡담],소울이터 넘어갈만한대 다들준비중?,,,
[잡담],"엘릭서 40 기준으로 무공, 공, 회심 등의 공증이 너무 많아져서 저받 효율 많이 떨어졌다고 하네요갈아끼자 !",,,
