"국가별",1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021
"국가별",출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수)
"아시아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"대한민국",641594,336147,305447,110.1,620668,324409,296259,109.5,640089,335433,304656,110.1,559934,291989,267945,109.0,496911,260228,236683,109.9,495036,257727,237309,108.6,476958,247835,229123,108.2,438707,227592,211115,107.8,451759,234110,217649,107.6,496822,255872,240950,106.2,465892,240119,225773,106.4,444849,229351,215498,106.4,470171,242901,227270,106.9,471265,242121,229144,105.7,484550,248958,235592,105.7,436455,223883,212572,105.3,435435,223356,212079,105.3,438420,224906,213514,105.3,406243,208064,198179,105.0,357771,184308,173463,106.3,326822,167686,159136,105.4,302676,155416,147260,105.5,272337,139362,132975,104.8,260562,133516,127046,105.1
"이스라엘",130080,66820,63260,105.6,131936,-,-,-,136390,70173,66217,106.0,-,-,-,-,139535,71318,68217,104.5,144936,74271,70665,105.1,145207,74694,70513,105.9,143913,73956,69957,105.7,148170,76078,72092,105.5,151679,77830,73849,105.4,156923,80254,76669,104.7,161042,82398,78644,104.8,166255,85415,80840,105.7,166296,85162,81134,105.0,170940,87452,83488,104.7,171444,88195,83249,105.9,176427,90780,85647,106.0,178723,91888,86835,105.8,181405,93364,88041,106.0,183648,94310,89338,105.6,184370,94510,89860,105.2,182016,93799,88217,106.3,-,-,-,-,-,-,-,-
"일본",1203147,617414,585733,105.4,1177669,604769,572900,105.6,1190547,612148,578399,105.8,-,-,-,-,1153855,592840,561015,105.7,1123610,576736,546874,105.5,1110721,569559,541162,105.2,1062530,545032,517498,105.3,1092674,560439,532235,105.3,1089818,559847,529971,105.6,1091156,559513,531643,105.2,1070035,548993,521042,105.4,1071304,550742,520562,105.8,1050806,538271,512535,105.0,1037231,531781,505450,105.2,1029816,527657,502159,105.1,1003539,515533,488006,105.6,1005677,515452,490225,105.1,976978,501880,475098,105.6,946065,484449,461616,104.9,918400,470851,447549,105.2,865239,443430,421809,105.1,-,-,-,-,-,-,-,-
"튀르키예",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1238970,636722,602248,105.7,-,-,-,-,1279864,657184,622680,105.5,1283062,659740,623322,105.8,1337504,687255,650249,105.7,-,-,-,-,1309771,672508,637263,105.5,1291055,662928,628127,105.5,1248847,641056,607791,105.5,1183652,606861,576791,105.2,-,-,-,-,-,-,-,-
"북아메리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"캐나다",-,-,-,-,-,-,-,-,327882,168387,159495,105.6,333744,171153,162591,105.3,328802,168842,159960,105.6,335202,171691,163511,105.0,337072,173154,163918,105.6,342176,175376,166800,105.1,-,-,-,-,367864,188337,179527,104.9,377886,193755,184131,105.2,380863,195445,185418,105.4,-,-,-,-,-,-,-,-,-,-,-,-,380323,-,-,-,-,-,-,-,-,-,-,-,383102,-,-,-,376291,-,-,-,372329,190879,181450,105.2,372040,190725,181315,105.2,-,-,-,-,-,-,-,-
"멕시코",2668428,1345837,1322244,101.8,2769089,1384810,1384000,100.1,2798339,1398877,1398703,100.0,2767610,1390066,1377544,100.9,-,-,-,-,2655894,1307080,1348354,96.9,-,-,-,-,2141083,1090593,1050217,103.8,2151204,1096051,1054940,103.9,2185888,-,-,-,2243145,1140930,1102070,103.5,2252786,1147390,1105092,103.8,2031806,-,-,-,2262024,1151425,1110491,103.7,-,-,-,-,2168933,1105164,1063692,103.9,2129825,1086566,1043213,104.2,2096274,1068348,1027913,103.9,2028358,1032107,996234,103.6,2000591,1020094,980490,104.0,1921933,979400,942520,103.9,-,-,-,-,-,-,-,-,-,-,-,-
"미국",3944046,-,-,-,3957829,-,-,-,-,-,-,-,4025933,-,-,-,4021726,-,-,-,-,-,-,-,4112052,-,-,-,-,-,-,-,4266000,-,-,-,-,-,-,-,4247694,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3952841,2021434,1931407,104.7,3932181,2012954,1919227,104.9,-,-,-,-,3978497,2036161,1942336,104.8,-,-,-,-,-,-,-,-,3791712,-,-,-,3747540,1917446,1830094,104.8,-,-,-,-,-,-,-,-
"남아메리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"칠레",257105,131234,125871,104.3,250674,128256,122418,104.8,-,-,-,-,-,-,-,-,238981,121975,117006,104.2,234486,119963,114523,104.8,-,-,-,-,230831,118534,112297,105.6,231383,118203,113180,104.4,240569,122952,117617,104.5,246581,125858,120723,104.3,252240,128659,123581,104.1,250643,127682,122961,103.8,247358,126555,120803,104.8,243635,124083,119552,103.8,242005,123402,118585,104.1,250997,128177,122802,104.4,244670,124713,119936,104.0,-,-,-,-,219186,111660,107501,103.9,221731,113039,108668,104.0,-,-,-,-,-,-,-,-,-,-,-,-
"콜롬비아",718880,-,-,-,-,-,-,-,734081,377341,356740,105.8,-,-,-,-,678388,347990,330398,105.3,711381,365261,346120,105.5,-,-,-,-,719533,370426,349107,106.1,711457,365169,346288,105.5,685859,352271,333588,105.6,702530,363100,339430,107.0,686045,353465,332580,106.3,-,-,-,-,665499,341406,324093,105.3,676835,347070,329765,105.2,-,-,-,-,669131,343163,325968,105.3,-,-,-,-,647521,332824,314617,105.8,656704,336576,320035,105.2,-,-,-,-,642660,329998,312605,105.6,-,-,-,-,-,-,-,-
"코스타리카",-,-,-,-,78526,-,-,-,-,-,-,-,-,-,-,-,71144,-,-,-,72938,-,-,-,72247,-,-,-,-,-,-,-,71291,-,-,-,73144,37471,35673,105.0,75187,38553,36634,105.2,75000,38277,36723,104.2,70922,36382,34540,105.3,73459,-,-,-,-,-,-,-,70550,36151,34399,105.1,71793,36719,35074,104.7,71819,36880,34939,105.6,70004,35419,34585,102.4,68816,35431,33385,106.1,68479,34868,33611,103.7,64287,32718,31569,103.6,57848,29367,28481,103.1,-,-,-,-
"유럽",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
